ntasks,kw_stat,p_value
2,21.14429260450161,9.825621383784166e-05
4,49.99578025863323,8.005728098795645e-11
8,104.18384358044477,1.957564957913314e-22
16,213.25019970588934,5.777164051970923e-46
32,381.64176036950755,2.096265250175612e-82
64,715.6519547233002,8.473232577050139e-155
