prog_n,ntasks,kw_stat,p_value
100,2,0.0,1.0
100,4,0.0,1.0
100,8,0.4775935276566461,0.9237857086013737
100,16,1.1358173076923421,0.7684354280415642
100,32,1.57342174717761,0.6654311614490653
100,64,0.0,1.0
250,2,0.0,1.0
250,4,0.0,1.0
250,8,0.35227272727273057,0.9499153559870688
250,16,0.8172169811321034,0.8453446812422973
250,32,1.4255127450980012,0.699565449903047
250,64,0.40162500000034146,0.9399066036522038
500,2,0.0,1.0
500,4,0.0,1.0
500,8,0.35227272727273057,0.9499153559870688
500,16,1.1358173076923421,0.7684354280415642
500,32,2.261081164330839,0.5200176951086499
500,64,0.8096243928865045,0.847163647689836
1000,2,0.0,1.0
1000,4,0.0,1.0
1000,8,0.35227272727273057,0.9499153559870688
1000,16,0.31249999999999584,0.9576606785525192
1000,32,6.622243466606454,0.08496420433238151
1000,64,0.42071898234701977,0.9359299538241922
