algorithm,ntasks,prog_n,switches_mean,switches_median,count,data_alloc_count_mean,data_alloc_count_median,data_alloc_count_std,data_alloc_bytes_mean,data_alloc_bytes_median,data_alloc_bytes_std,msg_sent_count_mean,msg_sent_count_median,msg_sent_count_std,msg_sent_bytes_mean,msg_sent_bytes_median,msg_sent_bytes_std,recv_count_mean,recv_count_median,recv_count_std,recv_bytes_mean,recv_bytes_median,recv_bytes_std,reduce_count_mean,reduce_count_median,reduce_count_std,reduce_bytes_mean,reduce_bytes_median,reduce_bytes_std
rcb,2,1000,180231.0,180231.0,2,55010.5,55010.5,49495.35336271477,2516850000.0,2516850000.0,3087440338.6948223,65002.0,65002.0,35358.16748645212,3150000000.0,3150000000.0,1626345596.7290592,65002.0,65002.0,35358.16748645212,3150000000.0,3150000000.0,1626345596.7290592,60120.0,60120.0,0.0,4000000000.0,4000000000.0,0.0
rcbincr,2,1000,180231.0,180231.0,2,55010.5,55010.5,49495.35336271477,2516300000.0,2516300000.0,3088218156.1541276,65002.0,65002.0,35358.16748645212,3150000000.0,3150000000.0,1626345596.7290592,65002.0,65002.0,35358.16748645212,3150000000.0,3150000000.0,1626345596.7290592,60120.0,60120.0,0.0,4000000000.0,4000000000.0,0.0
gilbert,4,100,180340.0,180340.0,4,195809.75,214009.0,65305.904803853686,3375000000.0,4050000000.0,1456880228.4333465,157503.0,120000.0,75006.0,4275000000.0,3000000000.0,2550000000.0,157503.0,170004.0,25002.0,4250000000.0,4650000000.0,834665601.7032609,100229.0,100229.0,0.0,4000000000.0,4000000000.0,0.0
hilbert,4,100,180341.0,180341.0,4,193659.75,213609.0,61905.28385296902,3375000000.0,4050000000.0,1456880228.4333465,157503.0,120000.0,75006.0,4275000000.0,3000000000.0,2550000000.0,157503.0,170004.0,25002.0,4250000000.0,4650000000.0,834665601.7032609,100230.0,100230.0,0.0,4000000000.0,4000000000.0,0.0
rcb,4,100,180392.0,180392.0,4,72509.75,90009.0,34998.5,3034825000.0,3850000000.0,1664351061.4751124,157503.0,120000.0,75006.0,4250000000.0,3000000000.0,2500000000.0,157503.0,170004.0,25002.0,4250000000.0,4650000000.0,834665601.7032609,100281.0,100281.0,0.0,4000000000.0,4000000000.0,0.0
rcbincr,4,100,180394.0,180394.0,4,72509.75,90009.0,34998.5,3034950000.0,3850000000.0,1664101161.7887497,157503.0,120000.0,75006.0,4250000000.0,3000000000.0,2500000000.0,157503.0,170004.0,25002.0,4250000000.0,4650000000.0,834665601.7032609,100283.0,100283.0,0.0,4000000000.0,4000000000.0,0.0
gilbert,4,250,180275.0,180275.0,4,195509.75,211009.0,58041.75223276775,3375000000.0,4050000000.0,1456880228.4333465,157503.0,120000.0,75006.0,4275000000.0,3000000000.0,2550000000.0,157503.0,170004.0,25002.0,4250000000.0,4650000000.0,834665601.7032609,100164.0,100164.0,0.0,4000000000.0,4000000000.0,0.0
hilbert,4,250,180275.0,180275.0,4,195759.75,213509.0,62738.17420239451,3375000000.0,4050000000.0,1456880228.4333465,157503.0,120000.0,75006.0,4275000000.0,3000000000.0,2550000000.0,157503.0,170004.0,25002.0,4250000000.0,4650000000.0,834665601.7032609,100164.0,100164.0,0.0,4000000000.0,4000000000.0,0.0
rcb,4,250,180283.0,180283.0,4,72509.75,90009.0,34998.5,3034525000.0,3850000000.0,1664950820.8452685,157503.0,120000.0,75006.0,4250000000.0,3000000000.0,2500000000.0,157503.0,170004.0,25002.0,4250000000.0,4650000000.0,834665601.7032609,100172.0,100172.0,0.0,4000000000.0,4000000000.0,0.0
rcbincr,4,250,180283.0,180283.0,4,72509.75,90009.0,34998.5,3034625000.0,3850000000.0,1664750901.0359478,157503.0,120000.0,75006.0,4250000000.0,3000000000.0,2500000000.0,157503.0,170004.0,25002.0,4250000000.0,4650000000.0,834665601.7032609,100172.0,100172.0,0.0,4000000000.0,4000000000.0,0.0
gilbert,4,500,180244.0,180244.0,4,184759.75,201509.0,57487.03478973904,3375000000.0,4050000000.0,1456880228.4333465,157503.0,120000.0,75006.0,4275000000.0,3000000000.0,2550000000.0,157503.0,170004.0,25002.0,4250000000.0,4650000000.0,834665601.7032609,100133.0,100133.0,0.0,4000000000.0,4000000000.0,0.0
hilbert,4,500,180248.0,180248.0,4,186759.75,201009.0,58390.30600693349,3375000000.0,4050000000.0,1456880228.4333465,157503.0,120000.0,75006.0,4275000000.0,3000000000.0,2550000000.0,157503.0,170004.0,25002.0,4250000000.0,4650000000.0,834665601.7032609,100137.0,100137.0,0.0,4000000000.0,4000000000.0,0.0
rcb,4,500,180251.0,180251.0,4,72509.75,90009.0,34998.5,3034750000.0,3850000000.0,1664501001.301391,157503.0,120000.0,75006.0,4250000000.0,3000000000.0,2500000000.0,157503.0,170004.0,25002.0,4250000000.0,4650000000.0,834665601.7032609,100140.0,100140.0,0.0,4000000000.0,4000000000.0,0.0
rcbincr,4,500,180251.0,180251.0,4,72509.75,90009.0,34998.5,3034825000.0,3850000000.0,1664351061.4751124,157503.0,120000.0,75006.0,4250000000.0,3000000000.0,2500000000.0,157503.0,170004.0,25002.0,4250000000.0,4650000000.0,834665601.7032609,100140.0,100140.0,0.0,4000000000.0,4000000000.0,0.0
gilbert,4,1000,180231.0,180231.0,4,182509.75,202009.0,58953.38555941182,3324999999.5,3999999999.5,1419800455.0992367,157503.0,120000.0,75006.0,4275000000.0,3000000000.0,2550000000.0,157503.0,170004.0,25002.0,4250000000.0,4650000000.0,834665601.7032609,100120.0,100120.0,0.0,4000000000.0,4000000000.0,0.0
hilbert,4,1000,180231.0,180231.0,4,184009.75,202009.0,57594.90720179462,3324999999.5,3999999999.5,1419800455.0992367,157503.0,120000.0,75006.0,4275000000.0,3000000000.0,2550000000.0,157503.0,170004.0,25002.0,4250000000.0,4650000000.0,834665601.7032609,100120.0,100120.0,0.0,4000000000.0,4000000000.0,0.0
rcb,4,1000,180231.0,180231.0,4,72509.75,90009.0,34998.5,3034425000.0,3850000000.0,1665150740.6738484,157503.0,120000.0,75006.0,4250000000.0,3000000000.0,2500000000.0,157503.0,170004.0,25002.0,4250000000.0,4650000000.0,834665601.7032609,100120.0,100120.0,0.0,4000000000.0,4000000000.0,0.0
rcbincr,4,1000,180231.0,180231.0,4,72509.75,90009.0,34998.5,3033975000.0,3850000000.0,1666050380.1406085,157503.0,120000.0,75006.0,4250000000.0,3000000000.0,2500000000.0,157503.0,170004.0,25002.0,4250000000.0,4650000000.0,834665601.7032609,100120.0,100120.0,0.0,4000000000.0,4000000000.0,0.0
gilbert,8,100,180399.0,180399.0,8,197409.375,213109.0,41460.483781677154,3250000000.0,3450000000.0,812403840.463596,323753.5,280000.0,123753.58620258243,4675000000.0,3500000000.0,3323401871.576773,323753.5,330004.0,17679.08374322606,4675000000.0,4800000000.0,477343841.33153206,180288.0,180288.0,0.0,4000000000.0,4000000000.0,0.0
hilbert,8,100,180392.0,180392.0,8,202459.375,215909.0,40868.694459687424,3262500000.0,3400000000.0,821040280.8980464,323753.5,280000.0,123753.58620258243,4675000000.0,3500000000.0,3323401871.576773,323753.5,330004.0,17679.08374322606,4687500000.0,4800000000.0,485320218.294802,180281.0,180281.0,0.0,4000000000.0,4000000000.0,0.0
rcb,8,100,180411.0,180411.0,8,81259.375,90009.0,24747.676681357385,3077675000.0,3400000000.0,999247625.180351,323753.5,280000.0,123753.58620258243,4675000000.0,3500000000.0,3323401871.576773,323753.5,330004.0,17679.08374322606,4662500000.0,4800000000.0,471888303.9751795,180300.0,180300.0,0.0,4000000000.0,4000000000.0,0.0
rcbincr,8,100,180411.0,180411.0,8,81259.375,90009.0,24747.676681357385,3077687500.0,3400000000.0,999212509.1254898,323753.5,280000.0,123753.58620258243,4675000000.0,3500000000.0,3323401871.576773,323753.5,330004.0,17679.08374322606,4662500000.0,4800000000.0,471888303.9751795,180300.0,180300.0,0.0,4000000000.0,4000000000.0,0.0
