prog_n,ntasks,kw_stat,p_value
100,2,5.634146341463415,0.13083174074521137
100,4,11.92546583850932,0.00764289339415259
100,8,25.54710000000001,1.1863882120039582e-05
100,16,52.68821778577447,2.136562614171308e-11
100,32,94.8636151332567,1.9752652027665916e-20
100,64,178.91950772687576,1.5093805239032026e-38
250,2,3.243902439024388,0.35552700534571746
250,4,11.94875776397516,0.007560772017425035
250,8,25.506800000000002,1.2096484724746614e-05
250,16,52.694826574104795,2.129642969277759e-11
250,32,94.86049736242308,1.9783149706086387e-20
250,64,179.02691996720407,1.430880484292178e-38
500,2,5.574074074074074,0.13427468771484027
500,4,11.94875776397516,0.007560772017425035
500,8,25.41742545527317,1.26286871390771e-05
500,16,52.727684041249745,2.0955710288734185e-11
500,32,94.98593863006752,1.8592479429766292e-20
500,64,178.332776196862,2.0206936087150254e-38
1000,2,5.634146341463415,0.13083174074521137
1000,4,11.985981308411219,0.007431337221961665
1000,8,25.46306761352271,1.2354045602199587e-05
1000,16,52.782341285036,2.040096041689455e-11
1000,32,95.00769415707948,1.8393393890243455e-20
1000,64,177.5832167132894,2.933328660153049e-38
