ntasks,algo,freq,segment,task,seg_stopped,br,bs,fb,fc,mb,mc
2,hilbert,1,1,0,0,831512,0,1663024,2,3343344,16
2,hilbert,1,1,1,0,0,831512,1663024,2,4209896,18
2,hilbert,1,2,0,0,0,68984,236000,12,361648,14
2,hilbert,1,2,1,0,68984,0,455776,15,700480,13
2,hilbert,1,3,0,0,39464,0,311952,14,113472,14
2,hilbert,1,3,1,0,0,39464,115248,11,295312,17
2,hilbert,1,4,0,0,0,0,0,0,0,0
2,hilbert,1,4,1,0,0,0,0,0,0,0
2,hilbert,1,5,0,1,0,0,0,0,0,0
2,hilbert,1,5,1,1,0,0,0,0,0,0
2,gilbert,1,1,0,0,846568,0,1693136,2,3406512,22
2,gilbert,1,1,1,0,0,846568,1693136,2,4208744,18
2,gilbert,1,2,0,0,0,96872,327776,18,388960,12
2,gilbert,1,2,1,0,96872,0,479136,15,765248,11
2,gilbert,1,3,0,0,55432,0,312624,12,150656,10
2,gilbert,1,3,1,0,0,55432,156400,9,321648,15
2,gilbert,1,4,0,0,0,0,0,0,0,0
2,gilbert,1,4,1,0,0,0,0,0,0,0
2,gilbert,1,5,0,1,0,0,0,0,0,0
2,gilbert,1,5,1,1,0,0,0,0,0,0
2,rcb,1,1,0,0,827392,0,9224192,3,10878976,3
2,rcb,1,1,1,0,0,827392,827392,1,827392,1
2,rcb,1,2,0,0,131072,0,10190848,3,10444800,3
2,rcb,1,2,1,0,0,131072,131072,1,131072,1
2,rcb,1,3,0,0,24576,0,10346496,3,10387456,3
2,rcb,1,3,1,0,0,24576,24576,1,24576,1
2,rcb,1,4,0,0,0,0,0,0,0,0
2,rcb,1,4,1,0,0,0,0,0,0,0
2,rcb,1,5,0,1,0,0,0,0,0,0
2,rcb,1,5,1,1,0,0,0,0,0,0
2,rcbincr,1,1,0,0,827392,0,9224192,3,10878976,3
2,rcbincr,1,1,1,0,0,827392,827392,1,827392,1
2,rcbincr,1,2,0,0,131072,0,10190848,3,10444800,3
2,rcbincr,1,2,1,0,0,131072,131072,1,131072,1
2,rcbincr,1,3,0,0,24576,0,10346496,3,10387456,3
2,rcbincr,1,3,1,0,0,24576,24576,1,24576,1
2,rcbincr,1,4,0,0,0,0,0,0,0,0
2,rcbincr,1,4,1,0,0,0,0,0,0,0
2,rcbincr,1,5,0,1,0,0,0,0,0,0
2,rcbincr,1,5,1,1,0,0,0,0,0,0
4,hilbert,1,1,0,0,1045952,0,2091904,2,4206392,12
4,hilbert,1,1,1,0,695048,1045952,3482000,2,7000112,22
4,hilbert,1,1,2,0,1398064,2097152,9095784,4,7714744,28
4,hilbert,1,1,3,0,2097152,2093112,6283376,2,10490552,10
4,hilbert,1,2,0,0,113736,0,2364544,12,2559704,14
4,hilbert,1,2,1,0,94984,113736,1046384,18,3594176,20
4,hilbert,1,2,2,0,4952,94984,2512112,26,2581896,20
4,hilbert,1,2,3,0,0,4952,4219768,10,77880,8
4,hilbert,1,3,0,0,6184,0,110720,10,120320,12
4,hilbert,1,3,1,0,5176,6184,37520,16,86864,18
4,hilbert,1,3,2,0,0,6032,2144896,16,2383088,18
4,hilbert,1,3,3,0,856,0,73952,8,22136,6
4,hilbert,1,4,0,0,0,800,8768,8,5888,6
4,hilbert,1,4,1,0,1016,0,4416,12,3808,12
4,hilbert,1,4,2,0,0,1008,96624,12,171352,14
4,hilbert,1,4,3,0,792,0,26160,6,3840,10
4,hilbert,1,5,0,0,0,0,0,0,0,0
4,hilbert,1,5,1,0,0,0,0,0,0,0
4,hilbert,1,5,2,0,0,0,0,0,0,0
4,hilbert,1,5,3,0,0,0,0,0,0,0
4,gilbert,1,1,0,0,1045936,0,2091872,2,4206424,14
4,gilbert,1,1,1,0,695888,1045936,3483648,2,7005600,24
4,gilbert,1,1,2,0,1400320,2097152,9100296,4,7740200,26
4,gilbert,1,1,3,0,2097152,2096208,6289568,2,10493368,10
4,gilbert,1,2,0,0,96792,0,2330816,14,2492328,16
4,gilbert,1,2,1,0,93400,96792,1013664,20,3595376,22
4,gilbert,1,2,2,0,0,106248,575776,22,1012568,26
4,gilbert,1,2,3,0,12848,0,27904,8,46304,10
4,gilbert,1,3,0,0,4656,0,74608,12,78368,8
4,gilbert,1,3,1,0,5264,4656,51504,17,38728,11
4,gilbert,1,3,2,0,0,5592,147552,18,405280,16
4,gilbert,1,3,3,0,328,0,2448,6,3184,8
4,gilbert,1,4,0,0,0,1976,5824,6,18864,8
4,gilbert,1,4,1,0,2288,0,2410048,14,65536,16
4,gilbert,1,4,2,0,0,1272,251120,14,458040,14
4,gilbert,1,4,3,0,960,0,6288,9,5840,11
4,gilbert,1,5,0,0,0,0,0,0,0,0
4,gilbert,1,5,1,0,0,0,0,0,0,0
4,gilbert,1,5,2,0,0,0,0,0,0,0
4,gilbert,1,5,3,0,0,0,0,0,0,0
4,rcb,1,1,0,0,987584,0,5190088,3,7167000,3
4,rcb,1,1,1,0,323136,475136,5000776,3,4696664,3
