ntasks,algo,freq,total_time_s,task_id,work_time_s,switch_time_s,load_balancer_time_s
2,hilbert,1,33.041679,0,30.649372,0.002343,2.311926
2,hilbert,1,33.041679,1,32.902776,0.001832,0.059032
2,gilbert,1,33.136214,1,32.819684,0.008278,0.22787
2,gilbert,1,33.136214,0,30.725523,0.0026,2.327604
2,rcb,1,32.959762,1,32.748655,0.002164,0.139246
2,rcb,1,32.959762,0,30.803708,0.002445,2.083838
2,rcbincr,1,32.961217,1,32.751366,0.002034,0.138465
2,rcbincr,1,32.961217,0,30.794624,0.002469,2.094708
4,hilbert,1,17.357117,3,16.91819,0.002077,0.379323
4,hilbert,1,17.357117,1,15.594331,0.002186,1.703068
4,hilbert,1,17.357117,2,16.129036,0.002048,1.168508
4,hilbert,1,17.357117,0,14.874392,0.002638,2.42255
4,gilbert,1,17.962021,0,14.419017,0.002007,3.489028
4,gilbert,1,17.962021,1,16.430348,0.002493,1.477363
4,gilbert,1,17.962021,3,16.374439,0.005922,1.529611
4,gilbert,1,17.962021,2,16.294137,0.006593,1.609384
4,rcb,1,17.261212,0,15.006949,0.001204,2.210084
4,rcb,1,17.261212,3,16.660267,0.001468,0.556449
4,rcb,1,17.261212,2,16.094054,0.001685,1.122605
4,rcb,1,17.261212,1,15.758461,0.001593,1.458287
4,rcbincr,1,17.26664,0,15.015372,0.001301,2.205312
4,rcbincr,1,17.26664,2,16.089736,0.002284,1.13013
4,rcbincr,1,17.26664,3,16.65911,0.00197,0.56091
4,rcbincr,1,17.26664,1,15.758185,0.001793,1.462166
8,hilbert,1,9.067691,0,7.096045,0.006098,1.916578
8,hilbert,1,9.067691,7,8.685727,0.034258,0.298751
8,hilbert,1,9.067691,5,8.230746,0.034247,0.753744
8,hilbert,1,9.067691,4,7.736735,0.012995,1.268989
8,hilbert,1,9.067691,2,7.8702,0.00816,1.140291
8,hilbert,1,9.067691,3,7.989718,0.034192,0.99483
8,hilbert,1,9.067691,1,7.668781,0.005951,1.344011
8,hilbert,1,9.067691,6,8.228992,0.034372,0.755374
8,gilbert,1,9.042388,7,8.681845,0.00582,0.311111
8,gilbert,1,9.042388,1,7.740223,0.002277,1.256187
8,gilbert,1,9.042388,2,7.637537,0.005317,1.355919
8,gilbert,1,9.042388,3,8.247069,0.00572,0.745984
8,gilbert,1,9.042388,5,8.190553,0.005766,0.802461
8,gilbert,1,9.042388,0,7.070032,0.002359,1.926379
8,gilbert,1,9.042388,6,8.233758,0.006285,0.758731
8,gilbert,1,9.042388,4,7.702134,0.00582,1.290826
8,rcb,1,9.006067,3,8.075247,0.010087,0.891994
8,rcb,1,9.006067,7,8.515767,0.001627,0.460024
8,rcb,1,9.006067,2,7.684251,0.009563,1.283362
8,rcb,1,9.006067,0,7.268491,0.009584,1.699293
8,rcb,1,9.006067,6,8.144373,0.009684,0.823356
8,rcb,1,9.006067,1,7.727499,0.009274,1.240642
8,rcb,1,9.006067,4,7.844788,0.001096,1.131534
8,rcb,1,9.006067,5,8.246054,0.001527,0.729834
8,rcbincr,1,8.990285,3,8.075397,0.001343,0.884968
8,rcbincr,1,8.990285,7,8.515216,0.001567,0.444896
8,rcbincr,1,8.990285,0,7.265417,0.000867,1.695415
8,rcbincr,1,8.990285,2,7.683637,0.001392,1.27668
8,rcbincr,1,8.990285,1,7.728699,0.000838,1.232143
8,rcbincr,1,8.990285,6,8.144474,0.001491,0.815681
8,rcbincr,1,8.990285,4,7.844834,0.001028,1.115848
8,rcbincr,1,8.990285,5,8.246196,0.00153,0.713979
16,hilbert,1,4.602331,3,3.951595,0.003591,0.591626
16,hilbert,1,4.602331,2,3.800343,0.003194,0.743251
16,hilbert,1,4.602331,8,3.875076,0.00346,0.668207
16,hilbert,1,4.602331,9,3.871293,0.00345,0.672031
16,hilbert,1,4.602331,0,3.50418,0.00323,1.039339
16,hilbert,1,4.602331,7,4.161508,0.003377,0.381893
16,hilbert,1,4.602331,1,3.578431,0.003455,0.964918
16,hilbert,1,4.602331,11,4.127362,0.003479,0.415964
16,hilbert,1,4.602331,12,4.158261,0.003584,0.384959
16,hilbert,1,4.602331,5,4.012012,0.003577,0.531198
16,hilbert,1,4.602331,15,4.288942,0.003585,0.254282
16,hilbert,1,4.602331,10,4.084334,0.003342,0.459124
16,hilbert,1,4.602331,6,3.869049,0.003077,0.674667
16,hilbert,1,4.602331,13,4.077097,0.003442,0.466288
16,hilbert,1,4.602331,4,3.755958,0.003327,0.787531
16,hilbert,1,4.602331,14,4.391073,0.003703,0.15203
16,gilbert,1,4.822841,3,3.931616,0.01221,0.832201
16,gilbert,1,4.822841,14,4.393046,0.014063,0.36896
16,gilbert,1,4.822841,9,3.895223,0.00816,0.872647
16,gilbert,1,4.822841,10,4.07858,0.008365,0.689084
16,gilbert,1,4.822841,2,3.788037,0.006663,0.981374
16,gilbert,1,4.822841,0,3.503978,0.00964,1.262424
16,gilbert,1,4.822841,6,4.026034,0.011297,0.738698
16,gilbert,1,4.822841,15,4.284581,0.008305,0.483178
16,gilbert,1,4.822841,8,3.782663,0.009208,0.984204
16,gilbert,1,4.822841,13,4.10179,0.014269,0.660014
16,gilbert,1,4.822841,11,4.10648,0.00862,0.660969
16,gilbert,1,4.822841,5,3.930995,0.009966,0.835113
16,gilbert,1,4.822841,12,4.136923,0.014145,0.625006
16,gilbert,1,4.822841,1,3.592048,0.005943,1.178087
16,gilbert,1,4.822841,4,3.775841,0.009362,0.990864
16,gilbert,1,4.822841,7,4.176216,0.011544,0.588313
16,rcb,1,4.75878,15,4.14074,0.009655,0.589129
16,rcb,1,4.75878,3,3.894899,0.00265,0.842063
16,rcb,1,4.75878,8,3.76866,0.009072,0.961947
16,rcb,1,4.75878,2,3.834263,0.00901,0.896238
16,rcb,1,4.75878,12,4.0267,0.008094,0.704621
16,rcb,1,4.75878,13,4.118567,0.006971,0.614033
16,rcb,1,4.75878,14,4.375187,0.009422,0.355008
16,rcb,1,4.75878,0,3.392968,0.001187,1.345523
16,rcb,1,4.75878,6,4.054957,0.009274,0.675345
16,rcb,1,4.75878,10,4.137899,0.009033,0.592515
16,rcb,1,4.75878,9,4.077238,0.009496,0.652751
16,rcb,1,4.75878,4,3.784315,0.009059,0.946248
16,rcb,1,4.75878,7,4.021956,0.010166,0.707293
16,rcb,1,4.75878,5,3.900641,0.009685,0.829258
16,rcb,1,4.75878,1,3.867715,0.003806,0.868214
16,rcb,1,4.75878,11,4.108885,0.009339,0.621457
16,rcbincr,1,4.740469,3,3.922574,0.002048,0.795814
16,rcbincr,1,4.740469,4,3.784085,0.001879,0.934657
16,rcbincr,1,4.740469,2,3.862755,0.001663,0.856055
16,rcbincr,1,4.740469,9,4.050406,0.002143,0.667929
16,rcbincr,1,4.740469,15,4.165664,0.002108,0.552689
16,rcbincr,1,4.740469,8,3.740422,0.002096,0.978104
16,rcbincr,1,4.740469,1,3.857989,0.001733,0.861068
16,rcbincr,1,4.740469,7,4.021557,0.002503,0.696375
16,rcbincr,1,4.740469,13,4.145331,0.002337,0.572746
16,rcbincr,1,4.740469,6,4.054568,0.002062,0.663877
16,rcbincr,1,4.740469,10,4.09217,0.002193,0.626106
16,rcbincr,1,4.740469,5,3.900296,0.00231,0.81795
16,rcbincr,1,4.740469,14,4.403385,0.002207,0.315086
16,rcbincr,1,4.740469,12,4.05453,0.00258,0.663338
16,rcbincr,1,4.740469,11,4.102702,0.002102,0.615887
16,rcbincr,1,4.740469,0,3.346431,0.000976,1.373374
32,hilbert,1,2.430558,5,1.891083,0.005109,0.469191
32,hilbert,1,2.430558,22,2.030974,0.010059,0.324326
32,hilbert,1,2.430558,26,2.0283,0.010418,0.326688
