ntasks,algo,A,r,R,segment,task,seg_stopped,br,bs,fb,fc,mb,mc
2,hilbert,0.5,0.6,1.6,4,1,0,0,0,0,0,0,0
2,hilbert,0.5,0.6,1.6,5,0,1,0,0,0,0,0,0
2,hilbert,0.5,0.6,1.6,5,1,1,0,0,0,0,0,0
2,hilbert,0.5,0.6,1.6,6,0,1,0,0,0,0,0,0
2,hilbert,0.5,0.6,1.6,6,1,1,0,0,0,0,0,0
2,hilbert,0.5,0.6,1.6,7,0,1,0,0,0,0,0,0
2,hilbert,0.5,0.6,1.6,7,1,1,0,0,0,0,0,0
2,hilbert,0.5,0.6,1.6,8,0,1,0,0,0,0,0,0
2,hilbert,0.5,0.6,1.6,8,1,1,0,0,0,0,0,0
2,hilbert,0.5,0.6,1.6,9,0,1,0,0,0,0,0,0
2,hilbert,0.5,0.6,1.6,9,1,1,0,0,0,0,0,0
2,hilbert,0.5,0.6,1.6,10,0,1,0,0,0,0,0,0
2,hilbert,0.5,0.6,1.6,10,1,1,0,0,0,0,0,0
2,hilbert,0.05,0.92,1.08,1,0,0,421800,0,843600,2,1265400,10
2,hilbert,0.05,0.92,1.08,1,1,0,0,421800,843600,2,1470376,9
2,hilbert,0.05,0.92,1.08,2,0,0,0,42504,113592,8,136624,8
2,hilbert,0.05,0.92,1.08,2,1,0,42504,0,187496,8,230000,8
2,hilbert,0.05,0.92,1.08,3,0,0,24564,0,100744,8,59772,8
2,hilbert,0.05,0.92,1.08,3,1,0,0,24564,63048,7,104020,10
2,hilbert,0.05,0.92,1.08,4,0,0,0,0,0,0,0,0
2,hilbert,0.05,0.92,1.08,4,1,0,0,0,0,0,0,0
2,hilbert,0.05,0.92,1.08,5,0,1,0,0,0,0,0,0
2,hilbert,0.05,0.92,1.08,5,1,1,0,0,0,0,0,0
2,hilbert,0.05,0.92,1.08,6,0,1,0,0,0,0,0,0
2,hilbert,0.05,0.92,1.08,6,1,1,0,0,0,0,0,0
2,hilbert,0.05,0.92,1.08,7,0,1,0,0,0,0,0,0
2,hilbert,0.05,0.92,1.08,7,1,1,0,0,0,0,0,0
2,hilbert,0.05,0.92,1.08,8,0,1,0,0,0,0,0,0
2,hilbert,0.05,0.92,1.08,8,1,1,0,0,0,0,0,0
2,hilbert,0.05,0.92,1.08,9,0,1,0,0,0,0,0,0
2,hilbert,0.05,0.92,1.08,9,1,1,0,0,0,0,0,0
2,hilbert,0.05,0.92,1.08,10,0,1,0,0,0,0,0,0
2,hilbert,0.05,0.92,1.08,10,1,1,0,0,0,0,0,0
2,hilbert,0.05,0.92,1.08,1,0,0,421892,0,843784,2,1265676,8
2,hilbert,0.05,0.92,1.08,1,1,0,0,421892,843784,2,1470468,7
2,hilbert,0.05,0.92,1.08,2,0,0,0,1468,3068,3,3520,5
2,hilbert,0.05,0.92,1.08,2,1,0,1468,0,7028,4,8496,8
2,hilbert,0.05,0.92,1.08,3,0,0,0,1388,3360,5,2996,6
2,hilbert,0.05,0.92,1.08,3,1,0,1388,0,4240,7,5628,7
2,hilbert,0.05,0.92,1.08,4,0,0,0,0,0,0,0,0
2,hilbert,0.05,0.92,1.08,4,1,0,0,0,0,0,0,0
2,hilbert,0.05,0.92,1.08,5,0,1,0,0,0,0,0,0
2,hilbert,0.05,0.92,1.08,5,1,1,0,0,0,0,0,0
2,hilbert,0.05,0.92,1.08,6,0,1,0,0,0,0,0,0
2,hilbert,0.05,0.92,1.08,6,1,1,0,0,0,0,0,0
2,hilbert,0.05,0.92,1.08,7,0,1,0,0,0,0,0,0
2,hilbert,0.05,0.92,1.08,7,1,1,0,0,0,0,0,0
2,hilbert,0.05,0.92,1.08,8,0,1,0,0,0,0,0,0
2,hilbert,0.05,0.92,1.08,8,1,1,0,0,0,0,0,0
2,hilbert,0.05,0.92,1.08,9,0,1,0,0,0,0,0,0
2,hilbert,0.05,0.92,1.08,9,1,1,0,0,0,0,0,0
2,hilbert,0.05,0.92,1.08,10,0,1,0,0,0,0,0,0
2,hilbert,0.05,0.92,1.08,10,1,1,0,0,0,0,0,0
2,rcb,,,,1,0,0,417792,0,2514944,2,2932736,2
2,rcb,,,,1,1,0,0,417792,417792,1,417792,1
2,rcb,,,,2,0,0,65536,0,2580480,2,2646016,2
2,rcb,,,,2,1,0,0,65536,65536,1,65536,1
2,rcb,,,,3,0,0,8192,0,2588672,2,2596864,2
2,rcb,,,,3,1,0,0,8192,8192,1,8192,1
2,rcb,,,,4,0,0,0,0,0,0,0,0
2,rcb,,,,4,1,0,0,0,0,0,0,0
2,rcb,,,,5,0,1,0,0,0,0,0,0
2,rcb,,,,5,1,1,0,0,0,0,0,0
2,rcb,,,,6,0,1,0,0,0,0,0,0
2,rcb,,,,6,1,1,0,0,0,0,0,0
2,rcb,,,,7,0,1,0,0,0,0,0,0
2,rcb,,,,7,1,1,0,0,0,0,0,0
2,rcb,,,,8,0,1,0,0,0,0,0,0
2,rcb,,,,8,1,1,0,0,0,0,0,0
2,rcb,,,,9,0,1,0,0,0,0,0,0
2,rcb,,,,9,1,1,0,0,0,0,0,0
2,rcb,,,,10,0,1,0,0,0,0,0,0
2,rcb,,,,10,1,1,0,0,0,0,0,0
2,rcb,0.25,0.85,1.2,1,0,0,421888,0,2519040,2,2940928,2
2,rcb,0.25,0.85,1.2,1,1,0,0,421888,421888,1,421888,1
2,rcb,0.25,0.85,1.2,2,0,0,61440,0,2580480,2,2641920,2
