ntasks,total_time_s,task_id,work_time_s,switch_time_s
2,37.031513,0,26.582219,8.315293
2,37.031513,1,36.968264,0.002547
4,21.120396,2,15.877222,4.167758
4,21.120396,3,21.085624,0.001078
4,21.120396,0,10.678165,8.328714
4,21.120396,1,15.874047,4.171016
8,11.86494,2,6.633983,4.168977
8,11.86494,6,9.23924,2.08471
8,11.86494,0,4.036427,6.247193
8,11.86494,7,11.843944,0.000925
8,11.86494,3,9.239383,2.08454
8,11.86494,4,6.634724,4.168431
8,11.86494,1,6.634231,4.168809
8,11.86494,5,9.239176,2.08471
16,6.073381,6,4.145691,1.284034
16,6.073381,13,4.797085,1.008872
16,6.073381,9,3.536923,2.016847
16,6.073381,7,5.094308,0.717469
16,6.073381,8,3.100948,2.365749
16,6.073381,3,3.749774,1.793117
16,6.073381,4,2.885684,2.291797
16,6.073381,0,1.627253,3.298733
16,6.073381,10,4.443856,1.291479
16,6.073381,5,3.749762,1.79308
16,6.073381,1,2.405184,2.868757
16,6.073381,15,6.056792,0.001146
16,6.073381,11,4.796357,1.009539
16,6.073381,2,2.885033,2.29244
16,6.073381,12,4.444859,1.290712
16,6.073381,14,5.788324,0.215966
32,3.1052,27,2.478795,0.48944
32,3.1052,24,2.126054,0.771631
32,3.1052,7,2.103567,0.735941
32,3.1052,12,1.982653,0.771436
32,3.1052,1,0.996049,1.526459
32,3.1052,26,2.318487,0.617657
32,3.1052,9,1.553621,1.114673
32,3.1052,21,2.461806,0.479152
32,3.1052,15,2.63327,0.342033
32,3.1052,3,1.411088,1.290173
32,3.1052,16,1.331893,1.292117
32,3.1052,25,2.318435,0.617723
32,3.1052,31,3.088623,0.001618
32,3.1052,28,2.820031,0.216485
32,3.1052,30,2.96933,0.097041
32,3.1052,13,2.163615,0.626703
32,3.1052,29,2.969171,0.097202
32,3.1052,18,1.553661,1.114676
32,3.1052,22,2.163635,0.626678
32,3.1052,17,1.767821,1.034414
32,3.1052,23,2.633349,0.341914
32,3.1052,6,1.646801,1.00588
32,3.1052,19,1.982625,0.862494
32,3.1052,14,2.461826,0.479171
32,3.1052,5,1.646721,1.005945
32,3.1052,2,0.996013,1.526559
32,3.1052,11,1.982636,0.862524
32,3.1052,10,1.767648,1.034499
32,3.1052,20,1.982534,0.771587
32,3.1052,8,1.331913,1.292041
32,3.1052,0,0.628844,1.718783
32,3.1052,4,1.238942,1.230694
64,1.595547,43,1.278486,0.224223
64,1.595547,35,0.999316,0.447647
64,1.595547,18,0.675932,0.599885
64,1.595547,30,1.278411,0.224239
64,1.595547,29,1.278364,0.224335
64,1.595547,1,0.401292,0.798533
64,1.595547,17,0.769063,0.573309
64,1.595547,34,0.768952,0.573455
64,1.595547,32,0.563276,0.719341
64,1.595547,31,1.356086,0.162174
64,1.595547,27,1.123599,0.305265
64,1.595547,5,0.595652,0.712054
64,1.595547,28,1.184453,0.299424
64,1.595547,55,1.355834,0.162427
64,1.595547,33,0.768945,0.573399
64,1.595547,44,1.041001,0.371208
64,1.595547,54,1.12345,0.305251
64,1.595547,57,1.451564,0.096342
64,1.595547,36,0.675856,0.629155
64,1.595547,42,1.184289,0.29968
64,1.595547,51,1.278211,0.224544
64,1.595547,61,1.518287,0.04295
64,1.595547,50,1.040906,0.371305
64,1.595547,37,0.878459,0.485797
64,1.595547,45,1.123524,0.30516
64,1.595547,63,1.571036,0.000779
64,1.595547,19,0.878373,0.48594
64,1.595547,60,1.45157,0.096294
64,1.595547,46,1.278207,0.22449
64,1.595547,40,0.942337,0.45017
64,1.595547,39,1.10499,0.363065
64,1.595547,38,0.878359,0.485936
64,1.595547,62,1.518318,0.042946
64,1.595547,48,0.942338,0.450198
64,1.595547,53,1.278217,0.224504
64,1.595547,12,0.768971,0.573379
64,1.595547,11,0.878358,0.485859
64,1.595547,20,0.769563,0.572966
64,1.595547,49,1.184419,0.299601
64,1.595547,21,0.999379,0.434235
64,1.595547,25,1.040874,0.371426
64,1.595547,59,1.518337,0.042902
64,1.595547,47,1.355794,0.162492
64,1.595547,52,1.040907,0.37136
64,1.595547,22,0.878354,0.485927
64,1.595547,26,1.040836,0.371461
64,1.595547,3,0.595557,0.693442
64,1.595547,6,0.595547,0.712202
64,1.595547,10,0.768935,0.57335
64,1.595547,24,0.942194,0.450464
64,1.595547,15,1.104854,0.349835
64,1.595547,16,0.563263,0.690043
64,1.595547,56,1.369192,0.162165
64,1.595547,9,0.675766,0.599984
64,1.595547,2,0.40079,0.798926
64,1.595547,41,1.040909,0.371259
64,1.595547,0,0.228329,0.883397
64,1.595547,4,0.400787,0.849328
64,1.595547,13,0.878565,0.485687
64,1.595547,23,1.104847,0.349803
64,1.595547,8,0.563346,0.6899
64,1.595547,58,1.451568,0.096308
64,1.595547,7,0.814398,0.565814
64,1.595547,14,0.99933,0.434287
