ntasks,algo,freq,segment,task,seg_stopped,br,bs,fb,fc,mb,mc
2,gilbert,250,2,0,0,0,127586000,259542448,4486,259560000,4500
2,gilbert,250,2,1,0,127586000,0,382517992,7974,382758000,8000
2,gilbert,250,3,0,0,0,126910000,257590480,3006,257588000,3000
2,gilbert,250,3,1,0,126910000,0,380732704,6506,380730000,6500
2,gilbert,250,4,0,0,0,125574000,261378048,5490,261404000,5500
2,gilbert,250,4,1,0,125574000,0,376727344,6002,376722000,6000
2,gilbert,250,5,0,1,0,125574000,261404000,5500,261404000,5500
2,gilbert,250,5,1,1,125574000,0,376722000,6000,376722000,6000
2,gilbert,250,6,0,1,0,125574000,261404000,5500,261404000,5500
2,gilbert,250,6,1,1,125574000,0,376722000,6000,376722000,6000
2,gilbert,250,7,0,1,0,125574000,261404000,5500,261404000,5500
2,gilbert,250,7,1,1,125574000,0,376722000,6000,376722000,6000
2,gilbert,250,8,0,1,0,125574000,261404000,5500,261404000,5500
2,gilbert,250,8,1,1,125574000,0,376722000,6000,376722000,6000
2,gilbert,500,1,0,0,0,135168000,135168000,1000,135692288,1002
2,gilbert,500,1,1,0,135168000,0,270065664,1998,270336000,2000
2,gilbert,500,2,0,0,0,257724000,523080704,6990,523096000,7000
2,gilbert,500,2,1,0,257724000,0,772926888,14976,773172000,15000
2,gilbert,500,3,0,0,0,250764000,524337616,7998,524368000,8000
2,gilbert,500,3,1,0,250764000,0,752305920,10010,752292000,10000
2,gilbert,500,4,0,0,0,251612000,527022080,8998,527024000,9000
2,gilbert,500,4,1,0,251612000,0,754834304,10998,754836000,11000
2,rcb,125,1,0,0,0,33792000,33792000,250,34316288,252
2,rcb,125,1,1,0,33792000,0,67313664,498,67584000,500
2,rcb,125,2,0,0,0,35840000,35840000,250,35840000,250
2,rcb,125,2,1,0,35840000,0,71663616,500,71680000,500
2,rcb,125,3,0,0,0,35840000,35840000,250,35840000,250
2,rcb,125,3,1,0,35840000,0,71680000,500,71680000,500
2,rcb,125,4,0,0,0,35840000,35840000,250,35840000,250
2,rcb,125,4,1,0,35840000,0,71680000,500,71680000,500
2,rcb,125,5,0,1,0,35840000,35840000,250,35840000,250
2,rcb,125,5,1,1,35840000,0,71680000,500,71680000,500
2,rcb,125,6,0,1,0,35840000,35840000,250,35840000,250
2,rcb,125,6,1,1,35840000,0,71680000,500,71680000,500
2,rcb,125,7,0,1,0,35840000,35840000,250,35840000,250
2,rcb,125,7,1,1,35840000,0,71680000,500,71680000,500
2,rcb,125,8,0,1,0,35840000,35840000,250,35840000,250
2,rcb,125,8,1,1,35840000,0,71680000,500,71680000,500
2,rcb,125,9,0,1,0,35840000,35840000,250,35840000,250
2,rcb,125,9,1,1,35840000,0,71680000,500,71680000,500
2,rcb,125,10,0,1,0,35840000,35840000,250,35840000,250
2,rcb,125,10,1,1,35840000,0,71680000,500,71680000,500
2,rcb,125,11,0,1,0,35840000,35840000,250,35840000,250
2,rcb,125,11,1,1,35840000,0,71680000,500,71680000,500
2,rcb,125,12,0,1,0,35840000,35840000,250,35840000,250
2,rcb,125,12,1,1,35840000,0,71680000,500,71680000,500
2,rcb,125,13,0,1,0,35840000,35840000,250,35840000,250
2,rcb,125,13,1,1,35840000,0,71680000,500,71680000,500
2,rcb,125,14,0,1,0,35840000,35840000,250,35840000,250
2,rcb,125,14,1,1,35840000,0,71680000,500,71680000,500
2,rcb,125,15,0,1,0,35840000,35840000,250,35840000,250
2,rcb,125,15,1,1,35840000,0,71680000,500,71680000,500
2,rcb,125,16,0,1,0,35840000,35840000,250,35840000,250
2,rcb,125,16,1,1,35840000,0,71680000,500,71680000,500
2,rcb,250,1,0,0,0,67584000,67584000,500,68108288,502
2,rcb,250,1,1,0,67584000,0,134897664,998,135168000,1000
2,rcb,250,2,0,0,0,71680000,71680000,500,71680000,500
2,rcb,250,2,1,0,71680000,0,143343616,1000,143360000,1000
2,rcb,250,3,0,0,0,71680000,71680000,500,71680000,500
2,rcb,250,3,1,0,71680000,0,143360000,1000,143360000,1000
2,rcb,250,4,0,0,0,71680000,71680000,500,71680000,500
2,rcb,250,4,1,0,71680000,0,143360000,1000,143360000,1000
2,rcb,250,5,0,1,0,71680000,71680000,500,71680000,500
2,rcb,250,5,1,1,71680000,0,143360000,1000,143360000,1000
2,rcb,250,6,0,1,0,71680000,71680000,500,71680000,500
2,rcb,250,6,1,1,71680000,0,143360000,1000,143360000,1000
2,rcb,250,7,0,1,0,71680000,71680000,500,71680000,500
2,rcb,250,7,1,1,71680000,0,143360000,1000,143360000,1000
2,rcb,250,8,0,1,0,71680000,71680000,500,71680000,500
2,rcb,250,8,1,1,71680000,0,143360000,1000,143360000,1000
2,rcb,500,1,0,0,0,135168000,135168000,1000,135692288,1002
2,rcb,500,1,1,0,135168000,0,270065664,1998,270336000,2000
2,rcb,500,2,0,0,0,143360000,143360000,1000,143360000,1000
2,rcb,500,2,1,0,143360000,0,286703616,2000,286720000,2000
2,rcb,500,3,0,0,0,143360000,143360000,1000,143360000,1000
2,rcb,500,3,1,0,143360000,0,286720000,2000,286720000,2000
2,rcb,500,4,0,0,0,143360000,143360000,1000,143360000,1000
2,rcb,500,4,1,0,143360000,0,286720000,2000,286720000,2000
2,rcbincr,125,1,0,0,0,33792000,33792000,250,34316288,252
2,rcbincr,125,1,1,0,33792000,0,67313664,498,67584000,500
2,rcbincr,125,2,0,0,0,35840000,35840000,250,35840000,250
2,rcbincr,125,2,1,0,35840000,0,71663616,500,71680000,500
2,rcbincr,125,3,0,0,0,35840000,35840000,250,35840000,250
2,rcbincr,125,3,1,0,35840000,0,71680000,500,71680000,500
2,rcbincr,125,4,0,0,0,35840000,35840000,250,35840000,250
2,rcbincr,125,4,1,0,35840000,0,71680000,500,71680000,500
2,rcbincr,125,5,0,1,0,35840000,35840000,250,35840000,250
2,rcbincr,125,5,1,1,35840000,0,71680000,500,71680000,500
2,rcbincr,125,6,0,1,0,35840000,35840000,250,35840000,250
2,rcbincr,125,6,1,1,35840000,0,71680000,500,71680000,500
2,rcbincr,125,7,0,1,0,35840000,35840000,250,35840000,250
2,rcbincr,125,7,1,1,35840000,0,71680000,500,71680000,500
2,rcbincr,125,8,0,1,0,35840000,35840000,250,35840000,250
2,rcbincr,125,8,1,1,35840000,0,71680000,500,71680000,500
2,rcbincr,125,9,0,1,0,35840000,35840000,250,35840000,250
2,rcbincr,125,9,1,1,35840000,0,71680000,500,71680000,500
2,rcbincr,125,10,0,1,0,35840000,35840000,250,35840000,250
2,rcbincr,125,10,1,1,35840000,0,71680000,500,71680000,500
2,rcbincr,125,11,0,1,0,35840000,35840000,250,35840000,250
2,rcbincr,125,11,1,1,35840000,0,71680000,500,71680000,500
2,rcbincr,125,12,0,1,0,35840000,35840000,250,35840000,250
2,rcbincr,125,12,1,1,35840000,0,71680000,500,71680000,500
2,rcbincr,125,13,0,1,0,35840000,35840000,250,35840000,250
2,rcbincr,125,13,1,1,35840000,0,71680000,500,71680000,500
2,rcbincr,125,14,0,1,0,35840000,35840000,250,35840000,250
2,rcbincr,125,14,1,1,35840000,0,71680000,500,71680000,500
2,rcbincr,125,15,0,1,0,35840000,35840000,250,35840000,250
2,rcbincr,125,15,1,1,35840000,0,71680000,500,71680000,500
2,rcbincr,125,16,0,1,0,35840000,35840000,250,35840000,250
2,rcbincr,125,16,1,1,35840000,0,71680000,500,71680000,500
2,rcbincr,250,1,0,0,0,67584000,67584000,500,68108288,502
2,rcbincr,250,1,1,0,67584000,0,134897664,998,135168000,1000
2,rcbincr,250,2,0,0,0,71680000,71680000,500,71680000,500
2,rcbincr,250,2,1,0,71680000,0,143343616,1000,143360000,1000
2,rcbincr,250,3,0,0,0,71680000,71680000,500,71680000,500
2,rcbincr,250,3,1,0,71680000,0,143360000,1000,143360000,1000
2,rcbincr,250,4,0,0,0,71680000,71680000,500,71680000,500
2,rcbincr,250,4,1,0,71680000,0,143360000,1000,143360000,1000
2,rcbincr,250,5,0,1,0,71680000,71680000,500,71680000,500
2,rcbincr,250,5,1,1,71680000,0,143360000,1000,143360000,1000
2,rcbincr,250,6,0,1,0,71680000,71680000,500,71680000,500
2,rcbincr,250,6,1,1,71680000,0,143360000,1000,143360000,1000
2,rcbincr,250,7,0,1,0,71680000,71680000,500,71680000,500
2,rcbincr,250,7,1,1,71680000,0,143360000,1000,143360000,1000
2,rcbincr,250,8,0,1,0,71680000,71680000,500,71680000,500
2,rcbincr,250,8,1,1,71680000,0,143360000,1000,143360000,1000
2,rcbincr,500,1,0,0,0,135168000,135168000,1000,135692288,1002
2,rcbincr,500,1,1,0,135168000,0,270065664,1998,270336000,2000
2,rcbincr,500,2,0,0,0,143360000,143360000,1000,143360000,1000
2,rcbincr,500,2,1,0,143360000,0,286703616,2000,286720000,2000
2,rcbincr,500,3,0,0,0,143360000,143360000,1000,143360000,1000
2,rcbincr,500,3,1,0,143360000,0,286720000,2000,286720000,2000
2,rcbincr,500,4,0,0,0,143360000,143360000,1000,143360000,1000
2,rcbincr,500,4,1,0,143360000,0,286720000,2000,286720000,2000
4,hilbert,125,1,0,0,0,52320000,52320000,250,52844288,252
4,hilbert,125,1,1,0,17440000,0,34740480,498,34880000,500
4,hilbert,125,1,2,0,17440000,0,34740480,498,34880000,500
4,hilbert,125,1,3,0,17440000,0,34740480,498,34880000,500
4,hilbert,125,2,0,0,0,79203000,159358320,1244,159366000,1250
4,hilbert,125,2,1,0,37939000,0,113653008,4222,113817000,4250
4,hilbert,125,2,2,0,36489000,0,109314608,3974,109467000,4000
4,hilbert,125,2,3,0,4775000,0,14426320,2238,14325000,2250
4,hilbert,125,3,0,0,0,78023000,157111152,1746,157112000,1750
4,hilbert,125,3,1,0,36649000,0,109957320,3754,109947000,3750
4,hilbert,125,3,2,0,36589000,0,109766200,3752,109767000,3750
4,hilbert,125,3,3,0,4785000,0,14354920,2250,14355000,2250
4,hilbert,125,4,0,0,0,78261000,157536416,1502,157536000,1500
4,hilbert,125,4,1,0,36659000,0,109976920,3750,109977000,3750
4,hilbert,125,4,2,0,36617000,0,109850776,3998,109851000,4000
4,hilbert,125,4,3,0,4985000,0,14953400,2746,14955000,2750
4,hilbert,125,5,0,1,0,78261000,157536000,1500,157536000,1500
4,hilbert,125,5,1,1,36659000,0,109977000,3750,109977000,3750
4,hilbert,125,5,2,1,36617000,0,109851000,4000,109851000,4000
4,hilbert,125,5,3,1,4985000,0,14955000,2750,14955000,2750
4,hilbert,125,6,0,1,0,78261000,157536000,1500,157536000,1500
4,hilbert,125,6,1,1,36659000,0,109977000,3750,109977000,3750
4,hilbert,125,6,2,1,36617000,0,109851000,4000,109851000,4000
4,hilbert,125,6,3,1,4985000,0,14955000,2750,14955000,2750
4,hilbert,125,7,0,1,0,78261000,157536000,1500,157536000,1500
4,hilbert,125,7,1,1,36659000,0,109977000,3750,109977000,3750
4,hilbert,125,7,2,1,36617000,0,109851000,4000,109851000,4000
4,hilbert,125,7,3,1,4985000,0,14955000,2750,14955000,2750
4,hilbert,125,8,0,1,0,78261000,157536000,1500,157536000,1500
4,hilbert,125,8,1,1,36659000,0,109977000,3750,109977000,3750
4,hilbert,125,8,2,1,36617000,0,109851000,4000,109851000,4000
4,hilbert,125,8,3,1,4985000,0,14955000,2750,14955000,2750
4,hilbert,125,9,0,1,0,78261000,157536000,1500,157536000,1500
4,hilbert,125,9,1,1,36659000,0,109977000,3750,109977000,3750
4,hilbert,125,9,2,1,36617000,0,109851000,4000,109851000,4000
4,hilbert,125,9,3,1,4985000,0,14955000,2750,14955000,2750
4,hilbert,125,10,0,1,0,78261000,157536000,1500,157536000,1500
4,hilbert,125,10,1,1,36659000,0,109977000,3750,109977000,3750
4,hilbert,125,10,2,1,36617000,0,109851000,4000,109851000,4000
4,hilbert,125,10,3,1,4985000,0,14955000,2750,14955000,2750
4,hilbert,125,11,0,1,0,78261000,157536000,1500,157536000,1500
4,hilbert,125,11,1,1,36659000,0,109977000,3750,109977000,3750
4,hilbert,125,11,2,1,36617000,0,109851000,4000,109851000,4000
4,hilbert,125,11,3,1,4985000,0,14955000,2750,14955000,2750
4,hilbert,125,12,0,1,0,78261000,157536000,1500,157536000,1500
4,hilbert,125,12,1,1,36659000,0,109977000,3750,109977000,3750
4,hilbert,125,12,2,1,36617000,0,109851000,4000,109851000,4000
4,hilbert,125,12,3,1,4985000,0,14955000,2750,14955000,2750
4,hilbert,125,13,0,0,0,73437000,147979264,1748,147980000,1750
4,hilbert,125,13,1,0,2138000,0,6690168,3254,6414000,3250
4,hilbert,125,13,2,0,66712000,0,199895240,3752,200136000,3750
4,hilbert,125,13,3,0,4587000,0,13764184,2254,13761000,2250
4,hilbert,125,14,0,0,0,73823000,148694464,1502,148694000,1500
4,hilbert,125,14,1,0,1900000,0,5701904,2258,5700000,2250
4,hilbert,125,14,2,0,67336000,0,202003008,4246,202008000,4250
4,hilbert,125,14,3,0,4587000,0,13761000,2250,13761000,2250
4,hilbert,125,15,0,0,0,73399000,147949168,1996,147950000,2000
4,hilbert,125,15,1,0,1942000,0,5825664,2250,5826000,2250
4,hilbert,125,15,2,0,67102000,0,201307872,4250,201306000,4250
4,hilbert,125,15,3,0,4355000,0,13066856,2250,13065000,2250
4,hilbert,125,16,0,1,0,73399000,147950000,2000,147950000,2000
4,hilbert,125,16,1,1,1942000,0,5826000,2250,5826000,2250
4,hilbert,125,16,2,1,67102000,0,201306000,4250,201306000,4250
4,hilbert,125,16,3,1,4355000,0,13065000,2250,13065000,2250
4,hilbert,250,1,0,0,0,104640000,104640000,500,105164288,502
4,hilbert,250,1,1,0,34880000,0,69620480,998,69760000,1000
4,hilbert,250,1,2,0,34880000,0,69620480,998,69760000,1000
4,hilbert,250,1,3,0,34880000,0,69620480,998,69760000,1000
4,hilbert,250,2,0,0,0,155882000,313887472,3490,313896000,3500
4,hilbert,250,2,1,0,73338000,0,219860168,7476,220014000,7500
4,hilbert,250,2,2,0,72974000,0,218769624,6978,218922000,7000
4,hilbert,250,2,3,0,9570000,0,28811240,4488,28710000,4500
4,hilbert,250,3,0,0,0,157086000,316252208,3500,316252000,3500
4,hilbert,250,3,1,0,73318000,0,219954080,7500,219954000,7500
4,hilbert,250,3,2,0,73798000,0,221390704,7996,221394000,8000
4,hilbert,250,3,3,0,9970000,0,29908400,5496,29910000,5500
4,hilbert,250,4,0,0,0,161030000,323630048,2006,323628000,2000
4,hilbert,250,4,1,0,72420000,0,217263592,9492,217260000,9500
4,hilbert,250,4,2,0,78300000,0,234881992,8000,234900000,8000
4,hilbert,250,4,3,0,10310000,0,30928640,6496,30930000,6500
4,hilbert,250,5,0,1,0,161030000,323628000,2000,323628000,2000
4,hilbert,250,5,1,1,72420000,0,217260000,9500,217260000,9500
4,hilbert,250,5,2,1,78300000,0,234900000,8000,234900000,8000
4,hilbert,250,5,3,1,10310000,0,30930000,6500,30930000,6500
4,hilbert,250,6,0,1,0,161030000,323628000,2000,323628000,2000
4,hilbert,250,6,1,1,72420000,0,217260000,9500,217260000,9500
4,hilbert,250,6,2,1,78300000,0,234900000,8000,234900000,8000
4,hilbert,250,6,3,1,10310000,0,30930000,6500,30930000,6500
4,hilbert,250,7,0,1,0,161030000,323628000,2000,323628000,2000
4,hilbert,250,7,1,1,72420000,0,217260000,9500,217260000,9500
4,hilbert,250,7,2,1,78300000,0,234900000,8000,234900000,8000
4,hilbert,250,7,3,1,10310000,0,30930000,6500,30930000,6500
4,hilbert,250,8,0,1,0,161030000,323628000,2000,323628000,2000
4,hilbert,250,8,1,1,72420000,0,217260000,9500,217260000,9500
4,hilbert,250,8,2,1,78300000,0,234900000,8000,234900000,8000
4,hilbert,250,8,3,1,10310000,0,30930000,6500,30930000,6500
4,hilbert,500,1,0,0,0,209280000,209280000,1000,209804288,1002
4,hilbert,500,1,1,0,69760000,0,139380480,1998,139520000,2000
4,hilbert,500,1,2,0,69760000,0,139380480,1998,139520000,2000
4,hilbert,500,1,3,0,69760000,0,139380480,1998,139520000,2000
4,hilbert,500,2,0,0,0,312132000,628311888,5992,628320000,6000
4,hilbert,500,2,1,0,146636000,0,439754248,14976,439908000,15000
4,hilbert,500,2,2,0,146356000,0,438914808,14976,439068000,15000
4,hilbert,500,2,3,0,19140000,0,57521240,8988,57420000,9000
4,hilbert,500,3,0,0,0,295588000,594202064,3006,594200000,3000
4,hilbert,500,3,1,0,22336000,0,67256600,10010,67008000,10000
4,hilbert,500,3,2,0,253024000,0,758858664,17994,759072000,18000
4,hilbert,500,3,3,0,20228000,0,60681824,10996,60684000,11000
4,hilbert,500,4,0,0,0,296220000,596685552,5994,596688000,6000
4,hilbert,500,4,1,0,7976000,0,23956720,10000,23928000,10000
4,hilbert,500,4,2,0,269208000,0,807591632,17002,807624000,17000
4,hilbert,500,4,3,0,19036000,0,57110384,10002,57108000,10000
4,gilbert,125,1,0,0,0,52320000,52320000,250,52844288,252
4,gilbert,125,1,1,0,17440000,0,34740480,498,34880000,500
4,gilbert,125,1,2,0,17440000,0,34740480,498,34880000,500
4,gilbert,125,1,3,0,17440000,0,34740480,498,34880000,500
4,gilbert,125,2,0,0,0,73855000,149404336,2236,149418000,2250
4,gilbert,125,2,1,0,7576000,0,22806912,3726,22728000,3750
4,gilbert,125,2,2,0,60878000,0,182286496,4470,182634000,4500
4,gilbert,125,2,3,0,5401000,0,16299312,2238,16203000,2250
4,gilbert,125,3,0,0,0,73829000,149366000,2250,149366000,2250
4,gilbert,125,3,1,0,7568000,0,22704064,3750,22704000,3750
4,gilbert,125,3,2,0,60860000,0,182580144,4252,182580000,4250
4,gilbert,125,3,3,0,5401000,0,16203000,2250,16203000,2250
4,gilbert,125,4,0,0,0,73801000,149310000,2250,149310000,2250
4,gilbert,125,4,1,0,7528000,0,22584320,3502,22584000,3500
4,gilbert,125,4,2,0,60898000,0,182693696,4498,182694000,4500
4,gilbert,125,4,3,0,5375000,0,16125208,2250,16125000,2250
4,gilbert,125,5,0,1,0,73801000,149310000,2250,149310000,2250
4,gilbert,125,5,1,1,7528000,0,22584000,3500,22584000,3500
4,gilbert,125,5,2,1,60898000,0,182694000,4500,182694000,4500
4,gilbert,125,5,3,1,5375000,0,16125000,2250,16125000,2250
4,gilbert,125,6,0,1,0,73801000,149310000,2250,149310000,2250
4,gilbert,125,6,1,1,7528000,0,22584000,3500,22584000,3500
4,gilbert,125,6,2,1,60898000,0,182694000,4500,182694000,4500
4,gilbert,125,6,3,1,5375000,0,16125000,2250,16125000,2250
4,gilbert,125,7,0,1,0,73801000,149310000,2250,149310000,2250
4,gilbert,125,7,1,1,7528000,0,22584000,3500,22584000,3500
4,gilbert,125,7,2,1,60898000,0,182694000,4500,182694000,4500
4,gilbert,125,7,3,1,5375000,0,16125000,2250,16125000,2250
4,gilbert,125,8,0,1,0,73801000,149310000,2250,149310000,2250
4,gilbert,125,8,1,1,7528000,0,22584000,3500,22584000,3500
4,gilbert,125,8,2,1,60898000,0,182694000,4500,182694000,4500
4,gilbert,125,8,3,1,5375000,0,16125000,2250,16125000,2250
4,gilbert,125,9,0,1,0,73801000,149310000,2250,149310000,2250
4,gilbert,125,9,1,1,7528000,0,22584000,3500,22584000,3500
4,gilbert,125,9,2,1,60898000,0,182694000,4500,182694000,4500
4,gilbert,125,9,3,1,5375000,0,16125000,2250,16125000,2250
4,gilbert,125,10,0,1,0,73801000,149310000,2250,149310000,2250
4,gilbert,125,10,1,1,7528000,0,22584000,3500,22584000,3500
4,gilbert,125,10,2,1,60898000,0,182694000,4500,182694000,4500
4,gilbert,125,10,3,1,5375000,0,16125000,2250,16125000,2250
4,gilbert,125,11,0,1,0,73801000,149310000,2250,149310000,2250
4,gilbert,125,11,1,1,7528000,0,22584000,3500,22584000,3500
4,gilbert,125,11,2,1,60898000,0,182694000,4500,182694000,4500
4,gilbert,125,11,3,1,5375000,0,16125000,2250,16125000,2250
4,gilbert,125,12,0,1,0,73801000,149310000,2250,149310000,2250
4,gilbert,125,12,1,1,7528000,0,22584000,3500,22584000,3500
4,gilbert,125,12,2,1,60898000,0,182694000,4500,182694000,4500
4,gilbert,125,12,3,1,5375000,0,16125000,2250,16125000,2250
4,gilbert,125,13,0,1,0,73801000,149310000,2250,149310000,2250
4,gilbert,125,13,1,1,7528000,0,22584000,3500,22584000,3500
4,gilbert,125,13,2,1,60898000,0,182694000,4500,182694000,4500
