ntasks,total_time_s,task_id,work_time_s,switch_time_s,returncode
8,117.237184,2,8.156321,109.079662,0
8,117.237184,6,4.157404,113.077470,0
8,117.237184,5,0.047970,117.187098,0
8,117.237184,7,0.047361,117.186599,0
8,117.237184,3,0.063660,117.172296,0
8,117.237184,1,0.060998,117.175272,0
8,117.237184,4,39.173964,78.061617,0
8,117.237184,0,53.775092,63.460740,0

