ntasks,freq,task,segment,mc,mb,fc,fb,bs,br
4,250,2,1,1000,69760000,998,69620480,0,34880000
4,250,1,1,1000,69760000,998,69620480,0,34880000
4,250,0,2,502,105164288,500,104640000,104640000,0
4,250,3,2,1000,69760000,998,69620480,0,34880000
4,250,2,2,1000,69760000,1000,69760000,0,34880000
4,250,1,2,1000,69760000,1000,69760000,0,34880000
4,250,0,3,500,104640000,500,104640000,104640000,0
4,250,3,3,1000,69760000,1000,69760000,0,34880000
4,250,2,3,1000,69760000,1000,69760000,0,34880000
4,250,1,3,1000,69760000,1000,69760000,0,34880000
4,250,0,4,500,104640000,500,104640000,104640000,0
4,250,3,4,1000,69760000,1000,69760000,0,34880000
4,250,2,4,1000,69760000,1000,69760000,0,34880000
4,250,1,4,1000,69760000,1000,69760000,0,34880000
4,250,0,5,500,104640000,500,104640000,104640000,0
4,250,3,5,1000,69760000,1000,69760000,0,34880000
4,250,2,5,1000,69760000,1000,69760000,0,34880000
4,250,1,5,1000,69760000,1000,69760000,0,34880000
4,250,0,6,500,104640000,500,104640000,104640000,0
4,250,3,6,1000,69760000,1000,69760000,0,34880000
4,250,2,6,1000,69760000,1000,69760000,0,34880000
4,250,1,6,1000,69760000,1000,69760000,0,34880000
4,250,0,7,500,104640000,500,104640000,104640000,0
4,250,3,7,1000,69760000,1000,69760000,0,34880000
4,250,2,7,1000,69760000,1000,69760000,0,34880000
4,250,1,7,1000,69760000,1000,69760000,0,34880000
4,250,0,8,500,104640000,500,104640000,104640000,0
4,250,3,8,1000,69760000,1000,69760000,0,34880000
4,250,2,8,1000,69760000,1000,69760000,0,34880000
4,250,1,8,1000,69760000,1000,69760000,0,34880000
4,250,0,9,500,104640000,500,104640000,104640000,0
4,250,3,9,1000,69760000,1000,69760000,0,34880000
4,500,2,1,2000,139520000,1998,139380480,0,69760000
4,500,1,1,2000,139520000,1998,139380480,0,69760000
4,500,0,2,1002,209804288,1000,209280000,209280000,0
4,500,3,2,2000,139520000,1998,139380480,0,69760000
4,500,2,2,2000,139520000,2000,139520000,0,69760000
4,500,1,2,2000,139520000,2000,139520000,0,69760000
4,500,0,3,1000,209280000,1000,209280000,209280000,0
4,500,3,3,2000,139520000,2000,139520000,0,69760000
4,500,2,3,2000,139520000,2000,139520000,0,69760000
4,500,1,3,2000,139520000,2000,139520000,0,69760000
4,500,0,4,1000,209280000,1000,209280000,209280000,0
4,500,3,4,2000,139520000,2000,139520000,0,69760000
4,500,2,4,2000,139520000,2000,139520000,0,69760000
4,500,1,4,2000,139520000,2000,139520000,0,69760000
4,500,0,5,1000,209280000,1000,209280000,209280000,0
4,500,3,5,2000,139520000,2000,139520000,0,69760000
8,125,0,1,252,63587288,250,63063000,63063000,0
8,125,4,1,500,18018000,498,17945928,0,9009000
8,125,2,1,500,18018000,498,17945928,0,9009000
8,125,6,1,500,18018000,498,17945928,0,9009000
8,125,1,1,500,18018000,498,17945928,0,9009000
8,125,5,1,500,18018000,498,17945928,0,9009000
8,125,7,1,500,18018000,498,17945928,0,9009000
8,125,3,1,500,18018000,498,17945928,0,9009000
8,125,0,2,250,63063000,250,63063000,63063000,0
8,125,4,2,500,18018000,500,18018000,0,9009000
8,125,2,2,500,18018000,500,18018000,0,9009000
8,125,6,2,500,18018000,500,18018000,0,9009000
8,125,1,2,500,18018000,500,18018000,0,9009000
8,125,5,2,500,18018000,500,18018000,0,9009000
8,125,3,2,500,18018000,500,18018000,0,9009000
8,125,7,2,500,18018000,500,18018000,0,9009000
8,125,0,3,250,63063000,250,63063000,63063000,0
8,125,4,3,500,18018000,500,18018000,0,9009000
8,125,2,3,500,18018000,500,18018000,0,9009000
8,125,6,3,500,18018000,500,18018000,0,9009000
8,125,1,3,500,18018000,500,18018000,0,9009000
8,125,5,3,500,18018000,500,18018000,0,9009000
8,125,7,3,500,18018000,500,18018000,0,9009000
8,125,3,3,500,18018000,500,18018000,0,9009000
8,125,0,4,250,63063000,250,63063000,63063000,0
8,125,4,4,500,18018000,500,18018000,0,9009000
8,125,2,4,500,18018000,500,18018000,0,9009000
8,125,6,4,500,18018000,500,18018000,0,9009000
8,125,1,4,500,18018000,500,18018000,0,9009000
8,125,5,4,500,18018000,500,18018000,0,9009000
8,125,7,4,500,18018000,500,18018000,0,9009000
8,125,3,4,500,18018000,500,18018000,0,9009000
8,125,0,5,250,63063000,250,63063000,63063000,0
8,125,4,5,500,18018000,500,18018000,0,9009000
8,125,2,5,500,18018000,500,18018000,0,9009000
8,125,6,5,500,18018000,500,18018000,0,9009000
8,125,1,5,500,18018000,500,18018000,0,9009000
8,125,5,5,500,18018000,500,18018000,0,9009000
8,125,7,5,500,18018000,500,18018000,0,9009000
8,125,3,5,500,18018000,500,18018000,0,9009000
8,125,0,6,250,63063000,250,63063000,63063000,0
8,125,4,6,500,18018000,500,18018000,0,9009000
8,125,2,6,500,18018000,500,18018000,0,9009000
8,125,6,6,500,18018000,500,18018000,0,9009000
8,125,1,6,500,18018000,500,18018000,0,9009000
8,125,5,6,500,18018000,500,18018000,0,9009000
