prog_n,ntasks,kw_stat,p_value
100,2,0.4315068493150685,0.9336597026506824
100,4,0.19186046511628438,0.9788924768551891
100,8,1.0285032767925968,0.7943554587391449
100,16,1.5155965132178797,0.6786753698002015
100,32,0.6084605502021053,0.8944928217271866
100,64,1.217773414296002,0.7487447451344731
250,2,0.38888888888888745,0.9425281046530495
250,4,0.23473282442748133,0.9717965394479975
250,8,1.3513209393346381,0.7169839664101998
250,16,1.5155965132178797,0.6786753698002015
250,32,0.3654774059679752,0.94727798585229
250,64,0.4732792536162703,0.9247213806602531
500,2,0.4315068493150685,0.9336597026506824
500,4,0.06818181818182206,0.9953606653532753
500,8,0.6721761541909426,0.8797280531059593
500,16,1.5117667995444306,0.6795572341770937
500,32,0.9417618381170701,0.8153397850650238
500,64,0.5880811862743428,0.8991554103370581
1000,2,0.3,0.9600284803068776
1000,4,0.10563380281690363,0.9911528798030806
1000,8,0.4629424778761095,0.9269540106303402
1000,16,0.7864069006544003,0.8527154843380711
1000,32,0.8675378602265427,0.8332537481280379
1000,64,0.5105951591111676,0.9165576113550403
