algorithm,ntasks,prog_n,switches_mean,switches_median,count,data_alloc_count_mean,data_alloc_count_median,data_alloc_count_std,data_alloc_bytes_mean,data_alloc_bytes_median,data_alloc_bytes_std,msg_sent_count_mean,msg_sent_count_median,msg_sent_count_std,msg_sent_bytes_mean,msg_sent_bytes_median,msg_sent_bytes_std,recv_count_mean,recv_count_median,recv_count_std,recv_bytes_mean,recv_bytes_median,recv_bytes_std,reduce_count_mean,reduce_count_median,reduce_count_std,reduce_bytes_mean,reduce_bytes_median,reduce_bytes_std
rcb,2,1000,48060.0,48060.0,2,13014.5,13014.5,12725.800741014296,1629600000.0,1629600000.0,1513774197.164161,18003.0,18003.0,8489.52401492569,1482000000.0,1482000000.0,873983981.5465727,18003.0,18003.0,8489.52401492569,1482000000.0,1482000000.0,873983981.5465727,18024.0,18024.0,0.0,1700000000.0,1700000000.0,0.0
rcbincr,2,1000,48060.0,48060.0,2,13014.5,13014.5,12725.800741014296,1629600000.0,1629600000.0,1513774197.164161,18003.0,18003.0,8489.52401492569,1482000000.0,1482000000.0,873983981.5465727,18003.0,18003.0,8489.52401492569,1482000000.0,1482000000.0,873983981.5465727,18024.0,18024.0,0.0,1700000000.0,1700000000.0,0.0
gilbert,4,100,48096.0,48096.0,4,54713.75,55713.0,20548.909190433118,2450000000.0,2000000000.0,1206924466.015445,45004.5,36000.0,18009.0,1975000000.0,1300000000.0,1350000000.0,45004.5,48006.0,6003.0,1975000000.0,1900000000.0,618465843.8426491,30060.0,30060.0,0.0,1700000000.0,1700000000.0,0.0
hilbert,4,100,48087.0,48087.0,4,50463.75,54913.0,22203.95840647939,2525000000.0,2450000000.0,822090830.3425683,45004.5,36000.0,18009.0,1975000000.0,1300000000.0,1350000000.0,45004.5,48006.0,6003.0,1975000000.0,2050000000.0,512347538.2979799,30051.0,30051.0,0.0,1700000000.0,1700000000.0,0.0
rcb,4,100,48096.0,48096.0,4,17513.75,22013.0,8998.5,1740075000.0,1900000000.0,562948211.7980895,45004.5,36000.0,18009.0,1925000000.0,1300000000.0,1250000000.0,45004.5,48006.0,6003.0,1925000000.0,2100000000.0,427200187.26587653,30060.0,30060.0,0.0,1700000000.0,1700000000.0,0.0
rcbincr,4,100,48096.0,48096.0,4,17513.75,22013.0,8998.5,1740075000.0,1900000000.0,562948211.7980895,45004.5,36000.0,18009.0,1925000000.0,1300000000.0,1250000000.0,45004.5,48006.0,6003.0,1925000000.0,2100000000.0,427200187.26587653,30060.0,30060.0,0.0,1700000000.0,1700000000.0,0.0
gilbert,4,250,48072.0,48072.0,4,51388.75,51763.0,19954.50873654039,2400000000.0,1950000000.0,1092397973.8782625,45004.5,36000.0,18009.0,1950000000.0,1300000000.0,1300000000.0,45004.5,48006.0,6003.0,1950000000.0,1900000000.0,574456264.6538029,30036.0,30036.0,0.0,1700000000.0,1700000000.0,0.0
hilbert,4,250,48069.0,48069.0,4,50388.75,54263.0,23762.689639783344,2425000000.0,2200000000.0,895823643.3584459,45004.5,36000.0,18009.0,1975000000.0,1300000000.0,1350000000.0,45004.5,48006.0,6003.0,1975000000.0,2000000000.0,537742193.4967226,30033.0,30033.0,0.0,1700000000.0,1700000000.0,0.0
rcb,4,250,48072.0,48072.0,4,17513.75,22013.0,8998.5,1737500000.0,1900000000.0,567707377.6750367,45004.5,36000.0,18009.0,1925000000.0,1300000000.0,1250000000.0,45004.5,48006.0,6003.0,1925000000.0,2100000000.0,427200187.26587653,30036.0,30036.0,0.0,1700000000.0,1700000000.0,0.0
rcbincr,4,250,48072.0,48072.0,4,17513.75,22013.0,8998.5,1737800000.0,1900000000.0,567152560.3104218,45004.5,36000.0,18009.0,1925000000.0,1300000000.0,1250000000.0,45004.5,48006.0,6003.0,1925000000.0,2100000000.0,427200187.26587653,30036.0,30036.0,0.0,1700000000.0,1700000000.0,0.0
