ntasks,task_id,switches_mean,switches_median,count,data_alloc_count_mean,data_alloc_count_median,data_alloc_count_std,data_alloc_bytes_mean,data_alloc_bytes_median,data_alloc_bytes_std,msg_sent_count_mean,msg_sent_count_median,msg_sent_count_std,msg_sent_bytes_mean,msg_sent_bytes_median,msg_sent_bytes_std,recv_count_mean,recv_count_median,recv_count_std,recv_bytes_mean,recv_bytes_median,recv_bytes_std,reduce_count_mean,reduce_count_median,reduce_count_std,reduce_bytes_mean,reduce_bytes_median,reduce_bytes_std
32,4,48056.0,48056.0,1,22013.0,22013.0,,1300000000.0,1300000000.0,,372000.0,372000.0,,1700000000.0,1700000000.0,,384006.0,384006.0,,2000000000.0,2000000000.0,,198020.0,198020.0,,1700000000.0,1700000000.0,
32,5,48056.0,48056.0,1,22013.0,22013.0,,1300000000.0,1300000000.0,,372000.0,372000.0,,1700000000.0,1700000000.0,,384006.0,384006.0,,2000000000.0,2000000000.0,,198020.0,198020.0,,1700000000.0,1700000000.0,
32,6,48056.0,48056.0,1,22013.0,22013.0,,1300000000.0,1300000000.0,,372000.0,372000.0,,1700000000.0,1700000000.0,,384006.0,384006.0,,2000000000.0,2000000000.0,,198020.0,198020.0,,1700000000.0,1700000000.0,
32,7,48056.0,48056.0,1,22013.0,22013.0,,1300000000.0,1300000000.0,,372000.0,372000.0,,1700000000.0,1700000000.0,,384006.0,384006.0,,2000000000.0,2000000000.0,,198020.0,198020.0,,1700000000.0,1700000000.0,
32,8,48056.0,48056.0,1,22013.0,22013.0,,1300000000.0,1300000000.0,,372000.0,372000.0,,1700000000.0,1700000000.0,,384006.0,384006.0,,2000000000.0,2000000000.0,,198020.0,198020.0,,1700000000.0,1700000000.0,
32,9,48056.0,48056.0,1,22013.0,22013.0,,1300000000.0,1300000000.0,,372000.0,372000.0,,1700000000.0,1700000000.0,,384006.0,384006.0,,2000000000.0,2000000000.0,,198020.0,198020.0,,1700000000.0,1700000000.0,
32,10,48056.0,48056.0,1,22013.0,22013.0,,1300000000.0,1300000000.0,,372000.0,372000.0,,1700000000.0,1700000000.0,,384006.0,384006.0,,2000000000.0,2000000000.0,,198020.0,198020.0,,1700000000.0,1700000000.0,
32,11,48056.0,48056.0,1,22013.0,22013.0,,1300000000.0,1300000000.0,,372000.0,372000.0,,1700000000.0,1700000000.0,,384006.0,384006.0,,2000000000.0,2000000000.0,,198020.0,198020.0,,1700000000.0,1700000000.0,
32,12,48056.0,48056.0,1,22013.0,22013.0,,1300000000.0,1300000000.0,,372000.0,372000.0,,1700000000.0,1700000000.0,,384006.0,384006.0,,2000000000.0,2000000000.0,,198020.0,198020.0,,1700000000.0,1700000000.0,
32,13,48056.0,48056.0,1,22013.0,22013.0,,1300000000.0,1300000000.0,,372000.0,372000.0,,1700000000.0,1700000000.0,,384006.0,384006.0,,2000000000.0,2000000000.0,,198020.0,198020.0,,1700000000.0,1700000000.0,
